,distBF,distRA,distSeaTac
2781,21215.46362278245,38549.275064431524,51921.593162132354
2782,14667.117046263138,37571.20830340987,33815.11506619061
2783,17662.20049732352,38661.05904242576,31429.13462059858
2784,53220.76299497962,45348.482374605315,22380.63827066498
2785,65309.80030482147,84648.43385037505,95787.08564825545
2786,33926.85762052414,42605.33859989329,20170.886977847764
2787,81025.47300784517,82081.57783571082,106497.2723120523
2788,26761.36220336062,43535.53357224071,57501.111169196745
2789,76272.77719716587,83439.20499296457,104955.73333691769
2790,29609.14758656174,30447.35697117801,53318.41605978315
2791,18599.63538050994,40574.603558289346,34042.17159885336
2792,37412.01876297753,27427.709053102048,53668.51513886195
2793,85742.59428871261,81015.08512597161,56405.106786510856
2794,51181.556327058126,57819.09836652544,79211.76860043957
2795,111865.34365731121,108068.31140110985,134130.9374296863
2796,69876.57774637632,84426.52124395179,100665.35502247122
2797,26506.68666533885,30596.64569308332,51923.58873475806
2798,60361.47674319281,39121.60163803917,37930.67288834707
2799,12971.308957173807,11709.18109270713,25513.2653917468
2800,73241.34025274059,53850.316599973514,46848.530868388334
2801,78678.89220185888,55183.37613986126,74451.63905826226
2802,76278.63110352535,59161.23277663574,47628.36203956894
2803,52900.48747746701,70341.6354473585,83776.7803197552
2804,77725.60916099463,54604.95859694877,57182.899795851685
2805,51450.191098206444,26789.18204285467,42498.5873002161
2806,81431.10453076017,90192.13777566062,110813.64176930621
2807,83736.6844136986,59282.66059359975,68009.26596360776
2808,121755.06328741764,101453.05571107965,124134.58914939738
2809,86056.66227229091,101317.5355221468,116935.04572795148
2810,81971.75725861207,72657.44220620421,51173.8649739656
2811,90649.09517649487,85585.98006986044,111792.08809955393
2812,44688.10118051949,52455.044456368,73065.79331608921
2813,5992.309617107733,29761.389228966465,31342.274697724748
2814,23534.770140078766,41285.90127627998,54350.26891672198
2815,56286.369297882025,69588.11972570758,86784.80635911135
2816,53449.85871292623,66592.96682874112,83884.42516322334
2817,51261.98812649807,69983.1888735453,82004.30538927022
2818,53410.49149550829,76189.00444349503,81832.36671530896
2819,99180.21320595065,80403.88151844406,71070.64665337405
2820,61705.49924074909,80203.98638137752,92418.43365351077
2821,12717.660125954035,34966.5218373934,43403.9457345087
2822,104735.65950102475,85146.16895971316,108748.47046793666
2823,32319.25586184595,49735.64186910998,63189.35176665447
2824,100236.55332422373,101313.69776000692,125890.52040448108
2825,64807.020119108456,84943.80120250616,94992.4869736711
2826,104634.86449064668,81416.38503897603,82834.84217147641
2827,49808.184609872755,36879.63703504381,63550.58882418351
2828,31570.035887425638,56232.35861983966,55147.315611188904
2829,41492.58884439478,17927.43242847295,29360.425991485747
2830,54945.343477601644,69703.42253905587,85691.7412352891
2831,82501.77730623753,78655.61310847937,53580.793142431976
2832,30266.682180344833,9945.78675672799,36525.90388475898
2833,70326.13716486585,78800.20179835432,99486.49655122102
2834,43558.37632547501,39752.74806988372,64951.54437577475
2835,54254.27262408938,69031.25567946765,84999.02388613504
2836,49972.255410663995,64450.258837967565,80639.0947724759
2837,63315.389516758274,64194.72356965749,88427.0420423657
2838,58827.80930244846,75781.70693673249,89714.08630806534
2839,73206.27175628925,68039.8992461576,43507.329457144406
2840,22728.425256772833,47179.54850261254,44971.23027131284
2841,54725.65601715349,71067.07994235092,85609.85156424635
2842,89452.99206394926,99875.72104146452,119458.4131348723
2843,75536.20121797951,77772.49469788755,101662.52955198195
2844,78737.91896436633,55682.399833626456,57946.697035290024
2845,23854.87169265369,32662.629138744494,51605.07276914302
2846,78475.97213718656,54783.00136516257,73549.27572863495
2847,152103.6473232686,130082.22134108434,150196.28379764108
2848,33326.23294224915,9165.584954876898,33149.90427688773
2849,52066.42718803265,27467.064576849163,41621.14704511359
2850,18042.127977982203,42702.06308416174,43388.0688246821
2851,28244.247482043385,46514.37882950757,59133.19994652558
2852,85827.23633403244,81703.49839547934,107692.0775030093
2853,57848.93041718046,76502.76058166461,88556.79453954799
2854,34584.51101921098,52099.719451741774,65468.44411492081
2855,32829.372157491714,50302.68265229252,63705.11454336133
2856,77820.02409126925,80892.47079453332,104459.15815974584
2857,104971.04442982865,85297.36733094518,108827.62792564971
2858,44330.448591634944,29651.46312221362,56304.02116242966
2859,109262.42315316861,84659.41635997305,93739.32414062222
2860,83680.74281853945,77459.80761271372,103816.88145426118
2861,61696.117499669774,78308.91282208095,92586.87726892548
2862,77680.95424715256,86011.88469603646,106863.34829681911
2863,73835.92548317814,60911.491313840794,87479.58622592012
2864,23737.638563459433,40244.65190135133,54360.31476410802
2865,54898.5892585631,70868.01848221567,85765.87074196547
2866,70968.20159189864,82067.55635534445,101041.93768819142
2867,71228.29325821648,64577.33173464362,90912.98272246875
2868,49670.435546785484,64750.846644131605,80426.51907203795
2869,112813.39620659892,108422.26742648038,134606.89573977212
2870,81690.64415860693,75866.18804430655,102148.6798634259
2871,121639.90825720178,101779.79535105066,94058.6662770798
2872,79976.0979983834,55681.352948050786,63489.54859683072
2873,111448.74827159011,107242.795176695,133386.57228057
2874,58844.890701261174,78126.48261769167,89396.55463832652
2875,53771.86307496236,69642.40335122745,84629.55779720005
2876,40430.27774631361,39543.6823252716,63731.232086700475
2877,95308.9002585634,71314.08645705717,76415.59894291934
2878,22846.976993426175,31957.71645070365,15321.471531750169
2879,110124.41364992266,106277.99473970503,132343.632228139
2880,55130.15429884875,69727.34148959829,85854.7619996617
2881,54879.6430616178,48946.52216022913,24519.930998062842
2882,62203.42098803761,76570.85614291803,92935.70639401251
2883,18910.92424783342,20957.6801053187,41752.447875623235
2884,85401.41780675689,61330.1656983467,78468.3256458546
2885,77975.59707982554,85124.99258134532,106669.30480992384
2886,58681.4234537314,76789.12670645495,89474.79567908114
2887,82106.68976191686,58253.887196584474,76336.50659617031
2888,89341.52900839322,83770.8141727215,59657.667137793476
2889,72510.42078464737,48198.66661662041,65128.75106273076
2890,97149.75372228077,85731.34476091473,66259.03974430221
2891,23982.466380411603,48528.18135957142,50188.51265593746
2892,96129.5043713307,72963.54995259934,74554.92483679378
2893,58016.487423760365,73498.33699130305,88857.94874257939
2894,70369.55049421755,63784.398353688746,90102.71991845293
2895,33411.75038914821,12092.13363087997,38194.2258886178
2896,19503.971774503327,16262.307691845896,38547.66399377604
2897,65465.93747835861,83494.38374327357,96239.10760750544
2898,73031.96319799912,81679.04024418797,102290.4295291636
2899,49183.39494707583,57232.64816494264,77808.54822652975
2900,83393.61574249816,97544.36513909063,114176.22551730425
2901,39289.30067984328,16222.624096530306,40339.823521411156
2902,47999.71748562561,29614.680839118682,24029.64632192128
2903,17743.493014573174,34851.80622082064,48274.52594759015
2904,23449.33733515322,26708.77791584703,47981.43768385017
2905,44112.39412431364,35387.376756204714,61648.133478954165
2906,86770.88367823264,96993.45550596464,116698.06988282272
2907,73305.1717899985,87605.45031975363,104075.59832601767
2908,56622.81785504525,74099.22761457766,87488.04105456774
2909,85748.05654399614,103420.52522143364,116500.91644819459
2910,71236.63571516312,83260.83962150251,101563.08159296885
2911,14389.374160954492,37511.77166756101,34182.61592314255
2912,60895.01823119024,50915.15383039657,30014.677813661474
2913,34610.137081226334,37907.89346377165,12738.079251131041
2914,74981.06840220421,89612.29005961437,105794.40797155157
2915,63520.30154737483,60125.17014283613,85700.90048049731
2916,18506.79305962487,36326.00559775128,49217.42111808279
2917,34674.293205980044,15340.218137187278,41791.47577991966
2918,7041.610268349716,23768.453425818047,35868.83256375921
2919,77837.71459054781,68772.08094559656,95399.73813077937
2920,35346.33834216389,53461.7662130743,66234.77022048246
2921,50258.19221875628,69973.12571467638,80774.91656209652
2922,75126.71433386432,62822.85213364228,89437.36372092573
2923,72986.58245614615,87597.88147621529,103792.196431185
2924,61994.40118931484,78783.60373285001,92882.05806833877
2925,63893.840813171446,39552.82121139486,57126.485763824756
2926,34122.86621458387,35623.3121728081,9888.63402803199
2927,252529.4758731285,236462.4735409533,261334.67080128254
2928,58777.14459578375,54974.06737844388,80572.63629959627
2929,23418.258133675605,41947.01436474916,54296.885776684045
2930,25441.202552201146,50032.45348043747,48331.42395184167
2931,56664.284596275415,71901.73963374578,87477.64749389111
2932,80795.11260346838,57536.033230980305,60379.376291696346
2933,96652.3210768068,85361.2778549077,65761.05171119077
2934,36304.938169180525,13284.723172030019,37993.42147621292
2935,99726.1245104292,82228.07031614658,107244.12078147108
